sroyce              ;116;1005;8
victor              ;  4; 800;3
carlo               ;  1; 800;4
vico                ;  1; 800;5
sroy                ;  0;   0;0
GILOU               ;  0;   0;0
abc                 ;  0;   0;0
lol                 ;  0;   0;0
