flo                 ;  4
fituning34          ;  3
Carlo               ;  2
Typhie              ;  1
Sroyce              ;  1
Thorgaran           ;  0
Hide                ;  0
JEEEEEEEEEEEEEEEEEEJ;  0
Geko68              ;  0
Glaeith             ;  0
